"product_category_name_english","revenue"
"health_beauty",1233131.72
"watches_gifts",1166176.98
"bed_bath_table",1023434.76
"sports_leisure",954852.55
"computers_accessories",888724.61
"furniture_decor",711927.69
"housewares",615628.69
"cool_stuff",610204.10
"auto",578966.65
"toys",471286.48
"garden_tools",470495.28
"baby",400421.84
"perfumery",390144.65
"telephony",309860.23
"office_furniture",268154.31
"stationery",223788.69
"computers",218684.14
"pet_shop",211695.64
"musical_instruments",184315.74
"small_appliances",182754.12
"electronics",155043.93
"fashion_bags_accessories",149329.39
"consoles_games",148003.37
"construction_tools_construction",142108.49
"luggage_accessories",138701.63
"home_appliances_2",107953.95
"home_construction",81407.57
"home_appliances",78832.48
"agro_industry_and_commerce",70566.10
"furniture_living_room",67350.70
"home_confort",58008.45
"fixed_telephony",55315.21
"air_conditioning",53323.56
"audio",50570.60
"small_appliances_home_oven_and_coffee",46589.56
"kitchen_dining_laundry_garden_furniture",45531.98
"books_general_interest",45302.15
"construction_tools_lights",39957.00
"construction_tools_safety",38773.22
"industry_commerce_and_business",38498.81
"food",28731.15
"market_place",27795.77
"costruction_tools_garden",25096.28
"art",23657.30
"fashion_shoes",23001.46
"drinks",21529.84
"signaling_and_security",21315.05
"furniture_bedroom",19051.80
"books_technical",18702.23
"costruction_tools_tools",15903.95
"food_drink",14942.88
"fashion_male_clothing",10452.33
"fashion_underwear_beach",9305.95
"christmas_supplies",8737.84
"tablets_printing_image",7528.41
"cine_photo",6674.47
"music",6034.35
"dvds_blu_ray",4542.59
"party_supplies",4465.19
"books_imported",4418.86
"furniture_mattress_and_upholstery",4323.38
"fashio_female_clothing",2634.94
"fashion_sport",2094.52
"la_cuisine",2054.99
"arts_and_craftmanship",1814.01
"diapers_and_hygiene",1500.79
"flowers",1110.04
"home_comfort_2",760.27
"cds_dvds_musicals",730.00
"fashion_childrens_clothes",519.95
"security_and_services",283.29
